mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
HTML,Which of the following is used to read a HTML page and render it?,Multiple Choice Question,"1, 2, 3, 4",Web browser,Web server,Web matrix,None of the mentioned,-,A,-,LEVEL 2
CSS,What is the padding-right value of<br>&lt;div&gt; HTML element?<br>&lt;html&gt;<br>&lt;head&gt;<br>&lt;style&gt;<br>div {<br>background: blue;<br>color: white;<br>padding-right: 20px;<br>padding: 10px 30px;<br>}<br>&lt;/style&gt;<br>&lt;/head&gt;<br>&lt;body&gt;<br>&lt;div&gt;text&lt;/div&gt;<br>&lt;/body&gt;<br>&lt;/html&gt;,Multiple Choice Question,"1, 2, 3, 4",20px,30px,0px,10px,-,B,,LEVEL 1
Total js,Which of the following have special meanings within the language syntax?,Multiple Choice Question,"1, 2, 3, 4",Variables,Literals,Reserved words,Identifiers,,C,-,LEVEL 1
CSS,Which of the following property determines whether or not an element is visible?,Multiple Choice Question,"1, 2, 3, 4",display,visibility,transperancy,disappear,-,B,,LEVEL 3
"Advanced JS - 2nd January, 2020",How To delete Cookies in Js?,Multiple Choice Question,"1, 2, 3, 4",document.cookie.delete,"document.cookie=”username=John Smith; expires=Thu, 18 Dec 1984 12:00:00 UTC; path=/”",document.delete,"document.cookie=”username=John Smith; expires=Thu, 18 Dec 2090 12:00:00 UTC; path=/ “",,B,-,LEVEL 1
Aptitude - Ages,"Yam is three times as old as his son after 10 years, the sum of their ages will be 76 years the respective age of father and the son are?",Multiple Choice Question,"1, 2, 3, 4","4,214","3,913","4,515","4,717",,A,-,LEVEL 1
CSS,Which of the following property specifies the size of the mask?,Multiple Choice Question,"1, 2, 3, 4",box-sizing,box-shadow,box-reflect,none of the mentioned,-,C,,LEVEL 3
Database - 26/02/2020,What does an indexing operation do ?,Multiple Choice Question,"1, 2, 3, 4",sorts a file using a single key,sorts file using two keys,establishes an index for a file,both b and c,,C,-,LEVEL 1
ES6,ES6 modules are stored in __________.,Multiple Choice Question,"1, 2, 3, 4",files,Database,none of the options,cloud,-,A,,LEVEL 2
HTML List,". To created a bulleted list, use _____",Multiple Choice Question,"1, 2, 3, 4",&lt;ol&gt;,&lt;ul&gt;,&lt;il&gt;,None of the above,-,B,-,LEVEL 1
Aptitude Quiz - Clocks,A clock strikes 15 in 42 seconds then it will strike 4 in how many seconds?,Multiple Choice Question,"1, 2, 3, 4",12,3,6,9,,D,-,LEVEL 1
CSS,____________ property specifies whether the mask should scroll or stay fixed when the page is scrolled.,Multiple Choice Question,"1, 2, 3, 4",mask-image,mask-box-image,mask-attachment,mask-origin,-,C,,LEVEL 3
CSS,Which of the following selector applies styles to elements that are valid per HTML5 validations set either with the,Multiple Choice Question,"1, 2, 3, 4",:valid,:required,:optional,:invalid,-,A,,LEVEL 2
Javascript,The ………. property specifies whether the browser is currently connected to the network.,Multiple Choice Question,"1, 2, 3, 4",navigator.online,geolocation,javaEnabled(),cookiesEnabled(),,A,,LEVEL 2
Js-12jul,What is the function used to extract arguments from the search property of a URL?,Multiple Choice Question,"1, 2, 3, 4",urlArgs(),url(),hash(),geturl(),,A,-,LEVEL 3
Javascript,Which of the following runs the JavaScript code?,Multiple Choice Question,"1, 2, 3, 4",Just In Time compiler,JavaScript Interpreter,Both Just In Time compiler and JavaScript Interpreter,None of the mentioned,,B,,LEVEL 2
JS Objects,What is the purpose of the assign() method?,Multiple Choice Question,"1, 2, 3, 4",Only loading,Loading of window and display,Displays already present window,Unloading of window,,B,-,LEVEL 2
Javascript,Which of the following are appenders ?,Multiple Choice Question,"1, 2, 3, 4",FileAppender,DummyAppender,ConsoleAppender,All of the Above,,D,,LEVEL 3
Jan Quiz 1,"What will be the output of the below code snippet

class OperatorExample{  
    public static void main(String args[])
    {  
        int a=10;  
        int b=20;  
        a+=4;
        b-=4;
        System.out.println(a);  
        System.out.println(b);  
    }
    
}",Multiple Choice Question,"1, 2, 3, 4","14
16","14
24",Compilation Error,None of these,,A,-,LEVEL 1
CSS Flex,To use flexbox we define a container as a flexbox. What is the CSS to do this?,Multiple Choice Question,"1, 2, 3, 4",position:absolute;,float:left;,display:flex;,display:block;,,C,-,LEVEL 1
React,Ref is used for referring an element or component returned by ___.,Multiple Choice Question,"1, 2, 3, 4",react(),render(),reduce(),refer(),,B,,LEVEL 2
Node,Which of the following module is required for path specific operations ?,Multiple Choice Question,"1, 2, 3, 4",Os module,Path module,Fs module,None of the above,,B,-,LEVEL 1
Javascript,How many properties are available in a memory object ?,Multiple Choice Question,"1, 2, 3, 4",3,2,1,4,,A,,LEVEL 1
HTML,Which of the following property can the intensity of color be described?,Multiple Choice Question,"1, 2, 3, 4",Hue,Saturation,Lightness,None of the above,-,B,-,LEVEL 2
JS String,Which built-in method combines the text of two strings and returns a new string?,Multiple Choice Question,"1, 2, 3, 4",append(),concat(),attach(),None of the above.,,B,-,LEVEL 2
HTML,What is the correct HTML code for inserting an image ?,Multiple Choice Question,"1, 2, 3, 4",&lt;img&gt;image.gif&lt;/img&gt;,&lt;img href=”image.gif/&gt;,&lt;img src=”image.gif”&gt;,None of the above,-,C,-,LEVEL 3
CSS,Pretend you have a rule that needs to be applied to both headings h1 and h2. What selector would you use?,Multiple Choice Question,"1, 2, 3, 4","h1, h2",h1,h2,".h1, .h2",-,A,,LEVEL 2
DOM Manipulation,What is the procedure to add methods to HTMLElement so that they will be inherited by the objects that represent the HTML tags in the current document?,Multiple Choice Question,"1, 2, 3, 4",HTMLElement.prototype(…),HTMLElement.prototype,HTML.addmethods(),HTML.elements(add),,B,-,LEVEL 4
Javascript,Consider the following code snippet<br>function f(o)<br>{<br> if (o === undefined) debugger;<br>}<br>What could be the task of the statement debugger?,Multiple Choice Question,"1, 2, 3, 4",It does nothing but a simple breakpoint,It debugs the error in that statement and restarts the statement’s execution,It is used as a keyword that debugs the entire program at once,All of the mentioned,,A,,LEVEL 2
CSS,Which of the following is not an acceptable value for the list-style-position property?,Multiple Choice Question,"1, 2, 3, 4",inside,outside,within,None of the given.,-,C,,LEVEL 2
August Entrance Section - A Slot 2,"Find the missing character:

<img src=""https://d3dyfaf3iutrxo.cloudfront.net/general/upload/1f8c020a60ab4e2fb13f9521ff12d7c0.png"" width=""500"" height=""300"">",Multiple Choice Question,"1, 2, 3, 4",5,9,11,13,,B,-,LEVEL 1
Java - Loops,"What is the output of the following code fragment?
for ( int count = 0;  count < 9;   )
{
  System.out.print( count + "" "" );
  count++ ;
}
System.out.println( );",Multiple Choice Question,"1, 2, 3, 4",0 1 2 3 4 5 6 7 8,Nothing --- the program will not compile.,count count count count count count count count count,0 1 2 3 4 5 6 7 8 9,,A,-,LEVEL 1
HTML,Which HTML tag produces the biggest heading?,Multiple Choice Question,"1, 2, 3, 4",&lt;h7&gt;,&lt;h9&gt;,&lt;h4&gt;,&lt;h1&gt;,-,D,,LEVEL 2
Javascript,Executable single line of Script is called as _________________.,Multiple Choice Question,"1, 2, 3, 4",Line in JS,Breakpoint in JS,None of these,Statement in JavaScript,,D,,LEVEL 2
Sanskrit-lecture-2-quiz-1,"Fill in the blanks with appropriate option

एष: ---------? एष: बालक:|",Multiple Choice Question,"1, 2, 3, 4",कः,का,किम्,,,A,-,LEVEL 1
Node,node.js excels at dealing with:,Multiple Choice Question,"1, 2, 3, 4",JRE optimization,fibonacci benchmarks,I/O-bound tasks,,,C,-,LEVEL 1
HTML,How many types of Cloud are there in Deployment Models?,Multiple Choice Question,"1, 2, 3, 4",2,3,4,5,-,C,-,LEVEL 2
Delete,"What characterizes Flux dispatcher, in React",Multiple Choice Question,"1, 2, 3, 4",require(&apos;Dispatcher&apos;);,require(&apos;flux&apos;).Dispatcher;,require(&apos;flux&apos;).getDispatcher();,require(&apos;flux.Dispatcher&apos;);,,B,-,LEVEL 2
HTML,The attribute .................. of &lt;BODY&gt; tag sets color of hypertext links.,Multiple Choice Question,"1, 2, 3, 4",link,vlink,alink,hlink,-,B,,LEVEL 2
HTML,"In HTML Audio/Video DOM, __________ sets or returns whether the audio/video should be loaded when the page loads.",Multiple Choice Question,"1, 2, 3, 4",preload,autoplay,buffered,controller,-,A,-,LEVEL 3
Javascript,The web development environment (JavaScript) offers which standard construct for data validation of the input entered by the user.,Multiple Choice Question,"1, 2, 3, 4",Controlled loop constructs,Server page access,Client side Event,Permit server-side,,A,,LEVEL 2
HTML,Choose the correct HTML tag for the largest heading?,Multiple Choice Question,"1, 2, 3, 4",< H1 >,< H6 >,< H0 >,< HEAD >,,A,-,LEVEL 1
HTML,State true or false. Maqetta is an open source initiative of the Dojo Foundation to geared towards visual designers through a WYSIWYG user interface.,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,-,A,-,LEVEL 2
January Entrance Section C - Slot 1,"Let's study the Palindrome number and Permutation today.
A palindrome is a phrase, number or sentence that reads the same either from start or end. A palindromic number is a number that remains the same when its digits are reversed. In other words, it has reflectional symmetry across a vertical axis. For example:- 1221, 1661, 5, 131. Permutation of N numbers is the arrangement of N different numbers from 1 to N. For example one of the possible permutations of 5 numbers is 3, 2, 4, 1, 5

Q 2) You have a permutation of N numbers and you want to change it into a palindrome. You can perform only a single operation as many times as you want, that is choose any two numbers and replace them with their sum. What will be the minimum operations you need to change the permutation into a palindrome.",Multiple Choice Question,"1, 2, 3, 4",Ceil of N/2,Floor of N/2,N-1,Can not be determined,,B,-,LEVEL 1
Sanskrit-lecture-9-quiz-1,"Choose appropriate options to complete the sentences

बालकः खादितवान् ।  बालकाः _____ bālakaḥ khāditavān bālakāḥ _____",Multiple Choice Question,"1, 2, 3, 4",खादितवन्तः   khāditavantaḥ,खादितवान्  khāditavān,खादति   khādati,,,A,-,LEVEL 1
Sanskrit-lecture-1-quiz-1,choose only अस्ति /नास्ति from given picture for बालिका,Multiple Choice Question,"1, 2, 3, 4",अस्ति,नास्ति,,,,A,-,LEVEL 1
Python-packages,Which of these definitions correctly describes a module?,Multiple Choice Question,"1, 2, 3, 4",Denoted by triple quotes for providing the specification of certain program elements,Design and implementation of specific functionality to be incorporated into a program,Defines the specification of how it is to be used,Any program that reuses code,,B,-,LEVEL 1
Javascript,What is the purpose of the event handlers in the JavaScript ?,Multiple Choice Question,"1, 2, 3, 4",Performs handling of exceptions and occurences,Adds innerHTML page to the code,Allows JavaScript code to alter the behaviour of windows,None of the Above,,C,,LEVEL 2
HTML,"Which of the following is correct to set ""Black"" color as Background of page?",Multiple Choice Question,"1, 2, 3, 4","bgcolor = ""#000000""&gt;","&lt;body background = ""#000000""&gt;","&lt;body Background color = ""#000000""&gt;",All of Above,-,A,,LEVEL 3
Node,Which of the following files using for setting start point in deployment services?,Multiple Choice Question,"1, 2, 3, 4",.travis.yml,PROCFILE,.CONFIG,.npm-start,,B,-,LEVEL 1
JS Objects,"What will be the output of the following JavaScript code? <br /> <br />function emp(name,salary) <br />{ <br /> this.name=name; <br /> this.salary=salary; <br /> <br /> this.changeSalary=changeSalary; <br /> function changeSalary(otherSalary) <br /> { <br /> this.salary=otherSalary; <br /> } <br />} <br />e=new emp(""Rahul"",30000); <br />e.changeSalary(45000); <br />document.write(""e.name+"" ""+e.salary);",Multiple Choice Question,"1, 2, 3, 4",Rahul 30000,Rahul,Rahul 45000,45000,,C,-,LEVEL 2
Aptitude - Number Series Pattern Recognition,"Find out the wrong number in the given sequence of numbers.
582, 605, 588, 611, 634, 617, 600",Multiple Choice Question,"1, 2, 3, 4",634,611,605,600,,A,-,LEVEL 1
CSS,Which of the following property is a shorthand that resets all CSS properties?,Multiple Choice Question,"1, 2, 3, 4",reset,initial,all,delete,-,C,,LEVEL 3
React,Which statement doesn't hold true for asynchronous nature of setState()?,Multiple Choice Question,"1, 2, 3, 4",Enabling concurrent updates in application,React model always lead to the most concise state,Guaranteering internal consistency,Avoid re-rendering of child components twice for parent-child components,,B,-,LEVEL 2
Javascript,"What's the output?<br>function greeting() {<br>  throw 'Hello world!';<br>}<br><br>function sayHi() {<br>  try {<br>  const data = greeting();<br>  console.log('It worked!', data);<br>  } catch (e) {<br>  console.log('Oh no an error:', e);<br>  }<br>}<br><br>sayHi();",Multiple Choice Question,"1, 2, 3, 4",It worked! Hello world!,Oh no an error: undefined,SyntaxError: can only throw Error objects,Oh no an error: Hello world!,,D,,LEVEL 2
Total js,"What is the right way to combine two arrays into a new array? var a = [“a”, “b”, “c”]; var b = [“d”, “e”, “f”];",Multiple Choice Question,"1, 2, 3, 4",var c = a.push() + b.push();,var c = a.join(b);,var c = a.concat(b);,None of these,,C,-,LEVEL 1
Logical,"Given two statements, verify the conclusions and mark the answer as given below:
 
Statements: 
Some cups are pots.      
 All pots are tubes.
 Conclusions:
I. Some pots are cups.    
 II. Some tubes are cups",Multiple Choice Question,"1, 2, 3, 4",only conclusion I follows.,only conclusion II follows.,both conclusions I & II follow.,no conclusion follows.,,C,-,LEVEL 1
Sanskrit Open Course Final Exam,"नदी _______ आगच्छति। 
nadī _______ āgacchati।",Multiple Choice Question,"1, 2, 3, 4",पर्वतं parvataṃ,पर्वतेन parvatena,पर्वततः parvatataḥ,,,C,-,LEVEL 1
Javascript,"What's the output?<br>function addToList(item, list) {<br>  return list.push(item);<br>}<br><br>const result = addToList('apple', ['banana']);<br>console.log(result);",Multiple Choice Question,"1, 2, 3, 4","['apple', 'banana']",2,TRUE,undefined,,B,,LEVEL 2
